"year","actor","movie","age","birth_place","birth_date"
"1929","Emil Jannings","The Way of All Flesh & The Las",44,"Switzerland","1884-07-23"
"1930","Warner Baxter","In Old Arizona",40,"Ohio","1889-03-29"
"1931","George Arliss","Disraeli",62,"England","1868-04-10"
"1932","Lionel Barrymore","A Free Soul",53,"Pennsylvania","1878-04-28"
"1933","Fredric March","Dr. Jekyll and Mr. Hyde",35,"Wisconsin","1897-08-31"
"1933","Wallace Beery","The Champ",47,"Missouri","1885-04-01"
"1934","Charles Laughton","The Private Life of Henry VIII",34,"England","1899-07-01"
"1935","Clark Gable","It Happened One Night",33,"Ohio","1901-02-01"
"1936","Victor McLaglen","The Informer",52,"England","1883-12-11"
"1937","Paul Muni","The Story of Louis Pasteur",41,"Poland","1895-09-22"
"1938","Spencer Tracy","Captains Courageous",37,"Wisconsin","1900-04-05"
"1939","Spencer Tracy","Boys Town",38,"Wisconsin","1900-04-05"
"1940","Robert Donat","Goodbye, Mr. Chips",34,"England","1905-03-18"
"1941","James Stewart","The Philadelphia Story",32,"Pennsylvania","1908-05-20"
"1942","Gary Cooper","Sergeant York",40,"Montana","1901-05-07"
"1943","James Cagney","Yankee Doodle Dandy",43,"New York","1899-07-17"
"1944","Paul Lukas","Watch on the Rhine",48,"Hungary","1895-05-26"
"1945","Bing Crosby","Going My Way",41,"Washington","1903-05-03"
"1946","Ray Milland","The Lost Weekend",40,"Wales","1905-01-03"
"1947","Fredric March","The Best Years of Our Lives",49,"Wisconsin","1897-08-31"
"1948","Ronald Colman","A Double Life",56,"England","1891-02-09"
"1949","Laurence Olivier","Hamlet",41,"England","1907-05-22"
"1950","Broderick Crawford","All the King's Men",38,"Pennsylvania","1911-12-09"
"1951","Jose Ferrer","Cyrano de Bergerac",41,"Puerto Rico","1909-01-08"
"1952","Humphrey Bogart","The African Queen",52,"New York","1899-12-25"
"1953","Gary Cooper","High Noon",51,"Montana","1901-05-07"
"1954","William Holden","Stalag 17",35,"Illinois","1918-04-17"
"1955","Marlon Brando","On The Waterfront",30,"Nebraska","1924-04-03"
"1956","Ernest Borgnine","Marty",38,"Connecticut","1917-01-24"
"1957","Yul Brynner","The King and I",41,"Russia","1915-07-07"
"1958","Alec Guinness","The Bridge On The River Kwai",43,"England","1914-04-02"
"1959","David Niven","Separate Tables",48,"Wales","1910-03-01"
"1960","Charlton Heston","Ben-Hur",36,"Illinois","1923-10-04"
"1961","Burt Lancaster","Elmer Gantry",47,"New York","1913-11-02"
"1962","Maximilian Schell","Judgment at Nuremburg",31,"Austria","1930-12-08"
"1963","Gregory Peck","To Kill a Mockingbird",46,"California","1916-04-05"
"1964","Sidney Poitier","Lilies of the Field",36,"Florida","1927-02-20"
"1965","Rex Harrison","My Fair Lady",56,"England","1908-03-05"
"1966","Lee Marvin","Cat Ballou",41,"New York","1924-02-19"
"1967","Paul Scofield","A Man for All Seasons",44,"England","1922-01-21"
"1968","Rod Steiger","In the Heat of the Night",42,"New York","1925-04-14"
"1969","Cliff Robertson","Charly",43,"California","1925-09-09"
"1970","John Wayne","True Grit",62,"Iowa","1907-05-26"
"1971","George C. Scott","Patton",43,"Virginia","1927-10-18"
"1972","Gene Hackman","The French Connection",41,"California","1930-01-30"
"1973","Marlon Brando","The Godfather",48,"Nebraska","1924-04-03"
"1974","Jack Lemmon","Save the Tiger",48,"Massachusetts","1925-02-08"
"1975","Art Carney","Harry and Tonto",56,"New York","1918-11-04"
"1976","Jack Nicholson","One Flew Over The Cuckoo's Nes",38,"New York","1937-04-22"
"1977","Peter Finch","Network",60,"England","1916-09-28"
"1978","Richard Dreyfuss","The Goodbye Girl",30,"New York","1947-10-29"
"1979","Jon Voight","Coming Home",40,"New York","1938-12-29"
"1980","Dustin Hoffman","Kramer vs. Kramer",42,"California","1937-08-08"
"1981","Robert De Niro","Raging Bull",37,"New York","1943-08-17"
"1982","Henry Fonda","On Golden Pond",76,"Nebraska","1905-05-16"
"1983","Ben Kingsley","Ghandi",39,"England","1943-12-31"
"1984","Robert Duvall","Tender Mercies",52,"California","1931-01-05"
"1985","F. Murray Abraham","Amadeus",45,"Pennsylvania","1939-10-24"
"1986","William Hurt","Kiss of the Spider Woman",35,"Washington DC","1950-03-20"
"1987","Paul Newman","The Color of Money",61,"Ohio","1925-01-26"
"1988","Michael Douglas","Wall Street",43,"New Jersey","1944-09-25"
"1989","Dustin Hoffman","Rain Man",51,"California","1937-08-08"
"1990","Daniel Day-Lewis","My Left Foot",32,"England","1957-04-29"
"1991","Jeremy Irons","Reversal of Fortune",42,"Isle of Wight","1948-09-19"
"1992","Anthony Hopkins","The Silence of the Lambs",54,"Wales","1937-12-31"
"1993","Al Pacino","Scent of a Woman",52,"New York","1940-04-25"
"1994","Tom Hanks","Philadelphia",37,"California","1956-07-09"
"1995","Tom Hanks","Forest Gump",38,"California","1956-07-09"
"1996","Nicolas Cage","Leaving Las Vegas",31,"California","1964-01-07"
"1997","Geoffrey Rush","Shine",45,"Australia","1951-07-06"
"1998","Jack Nicholson","As Good as It Gets",60,"New York","1937-04-22"
"1999","Roberto Benigni","Life is Beautiful",46,"Italy","1952-10-27"
"2000","Kevin Spacey","American Beauty",40,"New Jersey","1959-07-26"
"2001","Russell Crowe","Gladiator",36,"New Zealand","1964-04-07"
"2002","Denzel Washington","Training Day",47,"New York","1954-12-28"
"2003","Adrien Brody","The Pianist",29,"New York","1973-04-14"
"2004","Sean Penn","Mystic River",43,"California","1960-08-17"
"2005","Jamie Foxx","Ray",37,"Texas","1967-12-13"
"2006","Philip Hoffman","Capote",38,"New York","1967-07-23"
"2007","Forest Whitaker","The Last King of Scotland",45,"California","1961-07-15"
"2008","Daniel Day-Lewis","There Will Be Blood",50,"England","1957-04-29"
"2009","Sean Penn","Milk",48,"California","1960-08-17"
"2010","Jeff Bridges","Crazy Heart",60,"California","1949-12-04"
"2011","Colin Firth","The King's Speech",50,"England","1960-10-09"
"2012","Jean Dujardin","The Artist",39,"France","1972-07-19"
"2013","Daniel Day-Lewis","Lincoln",55,"England","1957-04-29"
"2014","Matthew McConaughey","Dallas Buyers Club",44,"Texas","1969-11-04"
"2015","Eddie Redmayne","The Theory of Everything",32,"England","1982-01-06"
"2016","Leonardo Di Caprio","The Revenant",41,"California","1974-11-11"
"2017","Casey Affleck","Manchester by the Sa",41,"Massachusetts","1975-08-12"
"2018","Gary Oldman","Darkest Hour",59,"England","1958-03-21"
"2019","Rami Malek","Bohemian Rhapsody",37,"California","1981-05-12"
