year,Award Category,Film,Producers
1929,OUTSTANDING PICTURE,Wings,Paramount Famous Lasky
1930,OUTSTANDING PICTURE,The Broadway Melody,Metro-Goldwyn-Mayer
1931,OUTSTANDING PRODUCTION,All Quiet on the Western Front,Universal
1932,OUTSTANDING PRODUCTION,Cimarron,RKO Radio
1933,OUTSTANDING PRODUCTION,Grand Hotel,Metro-Goldwyn-Mayer
1934,OUTSTANDING PRODUCTION,Cavalcade,Fox
1935,OUTSTANDING PRODUCTION,It Happened One Night,Columbia
1936,OUTSTANDING PRODUCTION,Mutiny on the Bounty,Metro-Goldwyn-Mayer
1937,OUTSTANDING PRODUCTION,The Great Ziegfeld,Metro-Goldwyn-Mayer
1938 ,OUTSTANDING PRODUCTION,The Life of Emile Zola,Warner Bros.
1939 ,OUTSTANDING PRODUCTION,You Can't Take It with You,Columbia
1940,OUTSTANDING PRODUCTION,Gone with the Wind,Selznick International Pictures
1941,OUTSTANDING PRODUCTION,Rebecca,Selznick International Pictures
1942,OUTSTANDING MOTION PICTURE,How Green Was My Valley,20th Century-Fox
1943,OUTSTANDING MOTION PICTURE,Mrs. Miniver,Metro-Goldwyn-Mayer
1944,OUTSTANDING MOTION PICTURE,Casablanca,Warner Bros.
1945,BEST MOTION PICTURE,Going My Way,Paramount
1946,BEST MOTION PICTURE,The Lost Weekend,Paramount
1947,BEST MOTION PICTURE,The Best Years of Our Lives,Samuel Goldwyn Productions
1948,BEST MOTION PICTURE,Gentleman's Agreement,20th Century-Fox
1949,BEST MOTION PICTURE,Hamlet,J. Arthur Rank-Two Cities Films
1950,BEST MOTION PICTURE,All the King's Men,Robert Rossen Productions
1951,BEST MOTION PICTURE,All about Eve,20th Century-Fox
1952,BEST MOTION PICTURE,An American in Paris,Arthur Freed
1953,BEST MOTION PICTURE,The Greatest Show on Earth,Cecil B. DeMille
1954,BEST MOTION PICTURE,From Here to Eternity,Buddy Adler
1955,BEST MOTION PICTURE,On the Waterfront,Sam Spiegel
1956,BEST MOTION PICTURE,Marty,Harold Hecht
1957,BEST MOTION PICTURE,Around the World in 80 Days,Michael Todd
1958,BEST MOTION PICTURE,The Bridge on the River Kwai,Sam Spiegel
1959,BEST MOTION PICTURE,Gigi,Arthur Freed
1960,BEST MOTION PICTURE,Ben-Hur,Sam Zimbalist
1961,BEST MOTION PICTURE,The Apartment,Billy Wilder
1962,BEST MOTION PICTURE,West Side Story,Robert Wise
1963,BEST PICTURE,Lawrence of Arabia,Sam Spiegel
1964,BEST PICTURE,Tom Jones,Tony Richardson
1965,BEST PICTURE,My Fair Lady,Jack L. Warner
1966,BEST PICTURE,The Sound of Music,Robert Wise
1967,BEST PICTURE,A Man for All Seasons,Fred Zinnemann
1968,BEST PICTURE,In the Heat of the Night,Walter Mirisch
1969,BEST PICTURE,Oliver!,John Woolf
1970,BEST PICTURE,Midnight Cowboy,Jerome Hellman
1971,BEST PICTURE,Patton,Frank McCarthy
1972,BEST PICTURE,The French Connection,Philip D'Antoni
1973,BEST PICTURE,The Godfather,Albert S. Ruddy
1974,BEST PICTURE,The Sting,Tony Bill and Michael Phillips and Julia Phillipss
1975,BEST PICTURE,The Godfather Part II,Francis Ford Coppola and Gray Frederickson and Fred Roos
1976,BEST PICTURE,One Flew over the Cuckoo's Nest,Saul Zaentz and Michael Douglass
1977,BEST PICTURE,Rocky,Irwin Winkler and Robert Chartoffs
1978,BEST PICTURE,Annie Hall,Charles H. Joffe
1979,BEST PICTURE,The Deer Hunter,Barry Spikings and Michael Deeley and Michael Cimino and John Peveralls
1980,BEST PICTURE,Kramer vs. Kramer,Stanley R. Jaffe
1981,BEST PICTURE,Ordinary People,Ronald L. Schwary
1982,BEST PICTURE,Chariots of Fire,David Puttnam
1983,BEST PICTURE,Gandhi,Richard Attenborough
1984,BEST PICTURE,Terms of Endearment,James L. Brooks
1985,BEST PICTURE,Amadeus,Saul Zaentz
1986,BEST PICTURE,Out of Africa,Sydney Pollack
1987,BEST PICTURE,Platoon,Arnold Kopelson
1988,BEST PICTURE,The Last Emperor,Jeremy Thomas
1989,BEST PICTURE,Rain Man,Mark Johnson
1990,BEST PICTURE,Driving Miss Daisy,Richard D. Zanuck and Lili Fini Zanucks
1991,BEST PICTURE,Dances With Wolves,Jim Wilson and Kevin Costners
1992,BEST PICTURE,The Silence of the Lambs,Edward Saxon and Kenneth Utt and Ron Bozmans
1993,BEST PICTURE,Unforgiven,Clint Eastwood
1994,BEST PICTURE,Schindler's List,Steven Spielberg and Gerald R. Molen and Branko Lustigs
1995,BEST PICTURE,Forrest Gump,Wendy Finerman Steve Tisch and Steve Starkeys
1996,BEST PICTURE,Braveheart,Mel Gibson and Alan Ladd and Jr. and Bruce Daveys
1997,BEST PICTURE,The English Patient,Saul Zaentz
1998,BEST PICTURE,Titanic,James Cameron and Jon Landaus
1999,BEST PICTURE,Shakespeare in Love,David Parfitt and Donna Gigliotti and Harvey Weinstein and Edward Zwick and Marc Normans
2000,BEST PICTURE,American Beauty,Bruce Cohen and Dan Jinkss
2001,BEST PICTURE,Gladiator,Douglas Wick and David Franzoni and Branko Lustigs
2002,BEST PICTURE,A Beautiful Mind,Brian Grazer and Ron Howards
2003,BEST PICTURE,Chicago,Martin Richards
2004,BEST PICTURE,The Lord of the Rings: The Return of the King,Barrie M. Osborne and Peter Jackson and Fran Walshs
2005,BEST PICTURE,Million Dollar Baby,Clint Eastwood and Albert S. Ruddy and Tom Rosenbergs
2006,BEST PICTURE,Crash,Paul Haggis and Cathy Schulmans
2007,BEST PICTURE,The Departed,Graham King
2008,BEST PICTURE,No Country for Old Men,Scott Rudin and Ethan Coen and Joel Coens
2009,BEST PICTURE,Slumdog Millionaire,Christian Colson
2010,BEST PICTURE,The Hurt Locker,Kathryn Bigelow and Mark Boal and Nicolas Chartier and Greg Shapiros
2011,BEST PICTURE,The King's Speech,Iain Canning and Emile Sherman and Gareth Unwins
2012,BEST PICTURE,The Artist,Thomas Langmann
2013,BEST PICTURE,Argo,Grant Heslov and Ben Affleck and George Clooneys
2014,BEST PICTURE,12 Years a Slave,Brad Pitt and Dede Gardner and Jeremy Kleiner and Steve McQueen and Anthony Katagass
2015,BEST PICTURE,Birdman or (The Unexpected Virtue of Igno,Alejandro G. Iñárritu and John Lesher and James W. Skotchdopoles
2016,BEST PICTURE,Spotlight,Michael Sugar and Steve Golin and Nicole Rocklin and Blye Pagon Fausts
2017,BEST PICTURE,Moonlight,Adele Romanski and Dede Gardner and Jeremy Kleiners
2018,BEST PICTURE,The Shape of Water,Guillermo del Toro and J. Miles Dales
2019,BEST PICTURE,Green Book,Jim Burke and Charles B. Wessler and Brian Currie and Peter Farrelly and Nick Vallelongas
2020,BEST PICTURE,Parasite,Kwak Sin Ae and Bong Joon Hos
2021,BEST PICTURE,Nomadland,Frances McDormand and Peter Spears and Mollye Asher and Dan Janvey and Chloé Zhaos
2022,BEST PICTURE,CODA,Philippe Rousselet and Fabrice Gianfermi and Patrick Wachsbergers
2023,BEST PICTURE,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert and Jonathan Wangs
